Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,72.720001,91.459999,69.691002,79.730003,79.730003,53272300
2019-06-01,80.000000,107.339996,75.650002,88.790001,88.790001,65083800
2019-07-01,85.129997,104.489998,83.099998,95.510002,95.510002,51611900
2019-08-01,95.750000,98.660004,87.290001,91.669998,91.669998,23417000
2019-09-01,91.500000,96.500000,74.290001,76.199997,76.199997,49826100
2019-10-01,76.430000,78.489998,60.967999,69.889999,69.889999,75113100
2019-11-01,69.860001,75.839996,65.360001,74.500000,74.500000,35020300
2019-12-01,74.059998,74.500000,62.020000,68.040001,68.040001,59923500
2020-01-01,68.800003,78.790001,65.811996,76.300003,76.300003,47782500
2020-02-01,77.690002,121.930000,77.510002,105.000000,105.000000,143712000
2020-03-01,109.349998,164.940002,100.879997,146.119995,146.119995,335926000
2020-04-01,144.500000,181.500000,108.529999,135.169998,135.169998,371457600
2020-05-01,136.000000,179.990005,132.669998,179.479996,179.479996,168661500
2020-06-01,183.179993,261.619995,183.000000,253.539993,253.539993,312304200
2020-07-01,251.350006,281.000000,237.199997,253.910004,253.910004,133741400
2020-08-01,256.829987,325.899994,230.000000,325.100006,325.100006,136638900
2020-09-01,439.510010,529.739990,345.679993,470.109985,470.109985,339866800
2020-10-01,477.000000,588.840027,457.019989,460.910004,460.910004,200150700
2020-11-01,462.290009,505.880005,366.279999,478.359985,478.359985,213277300
2020-12-01,434.720001,434.989990,336.100006,337.320007,337.320007,150340600
2021-01-01,340.399994,404.440002,331.100006,372.070007,372.070007,121394400
2021-02-01,369.000000,451.769989,351.809998,373.609985,373.609985,77834300
2021-03-01,388.660004,440.000000,302.320007,321.290009,321.290009,134884300
2021-04-01,325.980011,345.019989,313.100006,319.570007,319.570007,61146900
2021-05-01,320.239990,336.329987,273.200012,331.529999,331.529999,59146100
2021-06-01,333.329987,395.440002,318.250000,387.029999,387.029999,78586600
2021-07-01,386.119995,406.480011,343.820007,378.100006,378.100006,63308900
2021-08-01,378.000000,404.347992,288.299988,289.500000,289.500000,99779700
2021-09-01,292.850006,306.263000,255.250000,261.500000,261.500000,106413700
2021-10-01,268.770996,286.940002,250.110001,274.649994,274.649994,63760600
2021-11-01,273.200012,291.309998,195.800003,211.410004,211.410004,113944300
2021-12-01,211.419998,211.500000,174.660004,183.910004,183.910004,100068900
2022-01-01,184.440002,184.910004,134.699997,154.279999,154.279999,84794600
2022-02-01,155.229996,156.050003,114.260002,132.600006,132.600006,80642000
2022-03-01,128.570007,136.000000,94.510002,113.930000,113.930000,118056200
2022-03-25,117.129997,117.400002,112.449997,113.930000,113.930000,4217677
