Date,Open,High,Low,Close,Volume
04/18/2019,65.0,66.0,60.321,62.0,25764659
04/22/2019,61.0,68.9,59.94,65.7,9949738
04/23/2019,66.87,74.169,65.55,69.0,6786513
04/24/2019,71.4,71.5,63.16,63.2,4973529
04/25/2019,64.74,66.85,62.6,65.0,3863275
04/26/2019,66.12,66.99,63.6,66.22,1527450
04/29/2019,66.53,68.5,64.75,68.17,1822349
04/30/2019,68.4,72.52,66.67,72.47,4113123
05/01/2019,72.72,76.95,70.8159,72.76,3301900
05/02/2019,72.75,75.89,69.6912,75.5,2525285
05/03/2019,75.0,80.25,75.0,79.18,2590281
05/06/2019,75.01,80.79,74.5,78.24,2051824
05/07/2019,77.85,78.05,73.25,73.33,1975220
05/08/2019,74.61,78.5,74.03,77.68,2265503
05/09/2019,76.85,76.99,74.0,75.21,1348243
05/10/2019,75.79,79.74,74.77,79.63,1555091
05/13/2019,77.39,77.39,70.6,72.54,2873222
05/14/2019,74.12,76.8851,73.11,73.14,1950421
05/15/2019,73.4,80.0,72.21,79.76,2426504
05/16/2019,80.12,87.55,79.25,83.4,4580684
05/17/2019,82.25,90.28,81.88,89.98,3442549
05/20/2019,90.1,91.46,83.27,84.67,3666775
05/21/2019,86.63,89.7,84.5,85.44,2576024
05/22/2019,84.63,85.7,82.0,82.43,1596424
05/23/2019,81.25,81.5,77.26,78.76,2855970
05/24/2019,80.48,81.2499,74.2,76.25,2946767
05/28/2019,76.8,79.39,76.8,77.77,1641491
05/29/2019,77.0,77.93,73.5831,75.77,1512129
05/30/2019,76.68,80.97,76.6,80.42,1996030
05/31/2019,78.77,83.17,77.78,79.73,1594298
06/03/2019,80.0,81.94,75.65,75.9,1570466
06/04/2019,78.2,78.88,76.62,78.74,1134900
06/05/2019,80.14,80.6,76.24,78.04,1295760
06/06/2019,77.4,79.75,77.03,79.43,3024047
06/07/2019,93.66,98.8896,92.5,94.05,9487775
06/10/2019,98.51,105.985,96.0,102.0,4852773
06/11/2019,101.0,101.2,91.57,94.87,4372431
06/12/2019,94.6,104.185,94.0,102.77,3156886
06/13/2019,105.1,105.1719,98.55,100.95,3189094
06/14/2019,100.47,104.57,99.25,100.29,1889325
06/17/2019,101.0,102.4465,97.0,98.11,2128508
06/18/2019,100.39,102.0,97.51,99.64,2272387
06/19/2019,100.49,104.4446,98.63,102.39,2592675
06/20/2019,105.01,107.34,101.6209,102.3,2460733
06/21/2019,101.42,101.5316,97.82,100.47,2972517
06/24/2019,100.85,101.4997,88.88,89.41,6011186
06/25/2019,89.43,91.5,84.63,85.03,3748955
06/26/2019,87.92,89.08,84.605,86.33,2680016
06/27/2019,89.7,92.33,87.8,90.27,3019517
06/28/2019,91.76,92.2,87.25,88.79,3228290
07/01/2019,85.13,87.79,83.1,86.86,5326805
07/02/2019,86.27,86.85,84.0,85.13,1868892
07/03/2019,85.45,90.6,84.51,90.45,2706066
07/05/2019,90.14,91.97,88.0,91.88,2582697
07/08/2019,91.44,92.79,89.89,90.76,1793297
07/09/2019,90.27,91.27,89.1,90.93,1557350
07/10/2019,91.76,93.45,91.55,92.72,2059621
07/11/2019,92.9,93.2,90.452,91.4,1784559
07/12/2019,93.01,94.93,91.37,93.3,2689652
07/15/2019,94.0,100.65,93.78,99.8,3835592
07/16/2019,100.14,100.5,96.5,97.1,2120142
07/17/2019,97.62,101.9868,97.5401,99.73,2314102
07/18/2019,99.24,99.5,95.0164,95.19,2035569
07/19/2019,97.15,97.79,92.88,93.38,1747704
07/22/2019,94.19,97.465,93.505,96.67,1483400
07/23/2019,97.5,98.15,93.52,97.39,2241650
07/24/2019,97.12,97.88,94.685,95.94,1283718
07/25/2019,95.84,99.6,95.75,97.11,1870276
07/26/2019,97.95,104.49,97.83,102.2,3040689
07/29/2019,102.6,102.9975,92.1,96.47,4230283
07/30/2019,95.19,99.35,94.03,95.49,1635487
07/31/2019,96.43,97.5,93.5,95.51,1514734
08/01/2019,95.75,98.66,93.8,95.1,1530366
08/02/2019,94.92,96.0,92.5658,93.66,1117100
08/05/2019,90.7,91.19,87.29,89.69,1774360
08/06/2019,91.5,92.2899,88.1,90.43,1028654
08/07/2019,89.02,93.16,88.0201,92.45,996134
08/08/2019,93.57,95.84,93.0201,95.77,925610
08/09/2019,94.79,95.49,93.31,94.2,802311
08/12/2019,93.05,94.18,91.11,92.16,779341
08/13/2019,92.06,96.2228,92.06,95.45,1172874
08/14/2019,93.2,94.5215,89.89,92.65,1265666
08/15/2019,92.77,93.44,89.69,90.64,1085845
08/16/2019,92.12,95.0,92.0801,92.53,1267686
08/19/2019,94.18,96.2,92.89,93.17,1226647
08/20/2019,93.0,93.57,91.14,91.41,746950
08/21/2019,92.86,94.1805,92.3539,93.01,760434
08/22/2019,93.48,95.5,91.57,93.87,883145
08/23/2019,93.14,94.1296,90.41,91.63,1373215
08/26/2019,92.33,93.5,91.45,91.76,698857
08/27/2019,92.6,93.69,90.44,91.73,890671
08/28/2019,91.16,91.38,88.7111,90.16,1148489
08/29/2019,91.5,92.68,90.7,90.87,851973
08/30/2019,91.82,92.42,89.02,91.67,1186951
09/03/2019,91.5,94.24,90.75,92.46,1540324
09/04/2019,93.95,96.0,93.1801,93.53,2418109
09/05/2019,94.24,94.38,88.51,92.69,5055702
09/06/2019,92.0,96.5,84.86,85.41,7289700
09/09/2019,85.75,85.94,77.2,78.65,6713802
09/10/2019,77.0,81.2206,76.81,80.35,2813163
09/11/2019,80.0,81.86,78.5,80.71,2013599
09/12/2019,81.45,82.65,79.9,81.53,1955107
09/13/2019,81.57,82.4755,78.27,78.85,1416802
09/16/2019,78.5,80.99,78.26,80.67,1630142
09/17/2019,81.49,84.82,79.53,84.64,2544440
09/18/2019,84.4,86.0,83.5,84.55,1843660
09/19/2019,85.2,85.35,83.25,84.62,1276930
09/20/2019,85.0,85.35,81.5,82.63,2054552
09/23/2019,82.29,83.6,81.8,82.62,678853
09/24/2019,82.43,82.93,79.46,80.02,2147632
09/25/2019,79.12,79.99,76.08,79.6,1938824
09/26/2019,79.25,80.62,78.6154,79.75,928403
09/27/2019,79.69,79.825,75.09,76.04,2350893
09/30/2019,76.13,77.0,74.29,76.2,1358328
10/01/2019,76.43,77.49,75.21,75.81,1384716
10/02/2019,74.5,75.78,73.66,73.85,1388979
10/03/2019,73.9,78.4897,73.39,76.83,2607615
10/04/2019,77.0,77.7831,75.28,76.53,1799740
10/07/2019,76.99,77.43,75.0,76.99,1432473
10/08/2019,76.01,76.3544,72.58,73.59,3158040
10/09/2019,74.22,75.06,72.75,72.86,1493600
10/10/2019,72.86,73.78,71.01,71.01,2284911
10/11/2019,71.37,72.89,70.9016,71.35,2392819
10/14/2019,70.46,71.24,69.55,70.8,2220769
10/15/2019,68.76,71.27,68.38,71.11,10590632
10/16/2019,69.7,69.9499,66.51,67.69,6077995
10/17/2019,67.09,68.0,66.76,67.03,3579706
10/18/2019,66.26,66.93,64.53,66.08,4821710
10/21/2019,65.29,66.5,64.1582,65.77,3078276
10/22/2019,64.2,64.6,61.02,62.0,4611123
10/23/2019,61.33,63.74,60.9675,62.06,3609183
10/24/2019,63.0,65.94,62.7601,64.52,3437110
10/25/2019,64.33,64.99,62.79,63.45,1953670
10/28/2019,63.96,67.47,62.26,66.56,3512760
10/29/2019,65.77,67.11,64.8,65.49,1825982
10/30/2019,65.97,70.09,65.66,70.0,4672440
10/31/2019,69.52,70.08,66.6,69.89,3413049
11/01/2019,69.86,70.55,68.02,70.39,3562840
11/04/2019,70.81,70.85,69.01,70.12,1565768
11/05/2019,70.71,70.85,66.68,66.89,1813895
11/06/2019,66.95,67.13,65.36,66.83,1328637
11/07/2019,67.03,68.68,66.21,66.81,1129086
11/08/2019,66.54,70.0,66.52,69.85,1478204
11/11/2019,69.51,70.19,67.76,68.39,1040564
11/12/2019,68.5,70.05,67.56,68.0,1910953
11/13/2019,68.0,68.5075,66.87,68.01,1987325
11/14/2019,67.77,68.15,66.71,67.74,938903
11/15/2019,68.13,71.1,67.91,70.01,2316053
11/18/2019,70.47,71.14,68.78,70.08,1676349
11/19/2019,70.19,70.332,68.19,69.64,1706045
11/20/2019,69.25,71.71,68.55,70.99,2794193
11/21/2019,71.5,71.95,69.58,69.92,1129235
11/22/2019,72.0,74.0,71.15,73.16,3059878
11/25/2019,73.8,75.06,72.86,74.55,1943187
11/26/2019,75.0,75.77,74.76,75.16,1848973
11/27/2019,75.81,75.84,73.36,74.08,1356274
11/29/2019,74.1,74.94,73.86,74.5,512643
12/02/2019,74.06,74.5,68.46,68.93,3161571
12/03/2019,66.72,70.53,66.05,70.02,2445706
12/04/2019,70.5,70.9,69.15,69.96,2076766
12/05/2019,70.03,70.75,69.22,69.67,3904978
12/06/2019,64.26,65.08,62.11,62.74,11257628
12/09/2019,62.39,67.27,62.33,65.94,5251707
12/10/2019,65.49,65.83,63.39,64.57,3896467
12/11/2019,64.24,64.45,62.05,63.52,3686821
12/12/2019,63.49,64.23,62.12,62.49,3321682
12/13/2019,62.5,63.75,62.02,63.54,2489582
12/16/2019,63.59,66.39,63.56,66.35,3284172
12/17/2019,66.62,66.62,65.4,66.17,2301148
12/18/2019,66.22,68.14,66.04,67.6,2237384
12/19/2019,67.75,68.46,67.1,68.18,1613189
12/20/2019,68.2,68.48,66.4147,66.93,2201429
12/23/2019,67.02,67.5,65.93,66.15,1664335
12/24/2019,66.3,66.885,65.74,66.46,562588
12/26/2019,66.5,68.19,66.3,67.45,1387945
12/27/2019,67.51,67.9599,66.51,66.64,955620
12/30/2019,66.56,67.18,65.52,66.79,1162743
12/31/2019,66.38,68.18,66.31,68.04,1352189
01/02/2020,68.8,69.235,68.02,68.72,1315723
01/03/2020,67.62,68.68,67.1,67.28,1128483
01/06/2020,66.63,70.495,65.8116,70.32,3152028
01/07/2020,70.29,72.8391,69.37,71.9,7004619
01/08/2020,71.81,73.29,71.03,72.55,2483510
01/09/2020,73.99,74.0,71.35,72.62,2776328
01/10/2020,73.08,73.8,72.25,73.09,1656235
01/13/2020,73.89,75.58,73.8,74.03,3348152
01/14/2020,74.32,75.115,72.26,73.16,1910801
01/15/2020,73.28,77.78,73.2,76.94,3963465
01/16/2020,78.0,78.79,75.11,76.11,2999426
01/17/2020,76.66,76.9,75.49,75.56,1357419
01/21/2020,75.56,77.12,74.32,76.73,1606683
01/22/2020,77.07,77.1056,75.46,75.61,1501614
01/23/2020,75.67,75.97,74.21,74.47,1279050
01/24/2020,74.97,76.185,72.3746,73.0,1660195
01/27/2020,71.33,72.1317,70.32,70.44,1750696
01/28/2020,71.0,72.48,70.26,71.51,1598234
01/29/2020,72.51,74.14,71.213,73.58,1374490
01/30/2020,73.1,74.8,72.55,74.54,1425377
01/31/2020,74.27,76.67,73.3,76.3,2521702
02/03/2020,77.69,88.94,77.51,87.66,13023449
02/04/2020,91.04,93.3,83.5,85.79,10611018
02/05/2020,85.77,90.97,83.755,86.99,5126835
02/06/2020,87.0,89.44,85.26,87.26,2410793
02/07/2020,87.23,90.6,86.81,88.64,2636910
02/10/2020,89.09,89.98,86.91,89.67,2071618
02/11/2020,90.0,90.5,87.93,88.68,2731896
02/12/2020,88.66,89.5,86.52,88.28,1671131
02/13/2020,87.61,91.93,87.0,89.86,3406429
02/14/2020,90.88,91.71,89.81,90.95,2295039
02/18/2020,93.02,98.14,92.4,96.39,5669685
02/19/2020,100.32,105.08,99.75,103.93,7793793
02/20/2020,104.0,110.75,101.43,105.29,11293189
02/21/2020,104.03,104.29,98.09,101.76,5535908
02/24/2020,97.8,110.0,97.02,105.01,12172751
02/25/2020,108.52,111.8,104.4664,107.08,13425942
