Periodo;Ingresos
1995T1;2652
1995T2;2575
1995T3;3003
1995T4;3148
1996T1;2185
1996T2;2179
1996T3;2321
1996T4;2129
1997T1;1601
1997T2;1737
1997T3;1614
1997T4;1578
1998T1;1405
1998T2;1402
1998T3;1556
1998T4;1710
1999T1;1530
1999T2;1558
1999T3;1336
1999T4;2343
2000T1;1945
2000T2;1825
2000T3;1870
2000T4;1007
2001T1;1431
2001T2;1475
2001T3;1450
2001T4;1375
2002T1;1495
2002T2;1429
2002T3;1443
2002T4;1472
2003T1;1475
2003T2;1545
2003T3;1715
2003T4;2006
2004T1;1909
2004T2;2014
2004T3;2350
2004T4;3490
2005T1;3243
2005T2;3520
2005T3;3678
2005T4;5749
2006T1;4359
2006T2;4370
2006T3;4837
2006T4;7123
2007T1;5286
2007T2;5563
2007T3;6606
2007T4;9608
2008T1;7980
2008T2;7561
2008T3;11520
2008T4;11880
2009T1;9084
2009T2;9734
2009T3;12207
2009T4;15683
2010T1;13499
2010T2;15700
2010T3;20343
2010T4;26741
2011T1;24667
2011T2;28571
2011T3;28270
2011T4;46333
2012T1;39186
2012T2;35023
2012T3;35966
2012T4;54512
2013T1;43603
2013T2;35323
2013T3;37472
2013T4;57594
2014T1;45646
2014T2;37432
2014T3;42123
2014T4;74599
2015T1;58010
2015T2;49605
2015T3;51501
2015T4;75324
2016T1;50557
2016T2;42358
2016T3;46852
2016T4;78351
2017T1;52896
2017T2;45408
2017T3;51939
2017T4;88293
2018T1;61137
2018T2;53265
2018T3;62900
2018T4;84310
2019T1;58015
2019T2;53809
2019T3;64040
2019T4;91819
2020T1;58313
2020T2;59685
2020T3;64698
2020T4;111439
2021T1;89584
2021T2;81434
2021T3;83360
2021T4;123945
2022T1;97278
2022T2;82959
