"NOMBRE DE LA SERIE",DIP2021LINP_E00.M,DIP2021LINP_E01.M,DIP2021LINP_E02.M,DIP2021LINP_E03.M,DIP2021LINP_E04.M,DIP2021LINP_E05.M,DIP2021LINP_E06.M,DIP2021LINP_E07.M,DIP2021LINP_E08.M,DIP2021LINP_E09.M,DIP2021LINP_E10.M,DIP2021LINP_E11.M,DIP2021LINP_E12.M
"NÚMERO SECUENCIAL",4144805,4144809,4144813,4144817,4144821,4144825,4144829,4144833,4144837,4144841,4144845,4144797,4144801
"ALIAS DE LA SERIE","BE_25_1.1","BE_25_1.2","BE_25_1.3","BE_25_1.4","BE_25_1.5","BE_25_1.6","BE_25_1.7","BE_25_1.8","BE_25_1.9","BE_25_1.10","BE_25_1.11","BE_25_1.12","BE_25_1.13"
"DESCRIPCIÓN DE LA SERIE","Índice de Precios de Consumo (IPC). Año Base 2021. Índice General. Total Nacional. Índice","Índice de Precios de Consumo (IPC). Año Base 2021. Alimentos y bebidas no alcohólicas. Total Nacional. Índice","Índice de Precios de Consumo (IPC). Año Base 2021. Bebidas alcohólicas y tabaco. Total Nacional. Índice","Índice de Precios de Consumo (IPC). Año Base 2021. Vestido y calzado. Total Nacional. Índice","Índice de Precios de Consumo (IPC). Año Base 2021. Vivienda, agua, electricidad, gas y otros combustibles. Total Nacional. Índice","Índice de Precios de Consumo (IPC). Año Base 2021. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar. Total Nacional. Índice","Índice de Precios de Consumo (IPC). Año Base 2021. Sanidad. Total Nacional. Índice","Índice de Precios de Consumo (IPC). Año Base 2021. Transporte. Total Nacional. Índice","Índice de Precios de Consumo (IPC). Año Base 2021. Comunicaciones. Total Nacional. Índice","Índice de Precios de Consumo (IPC). Año Base 2021. Ocio y cultura. Total Nacional. Índice","Índice de Precios de Consumo (IPC). Año Base 2021. Enseñanza. Total Nacional. Índice","Índice de Precios de Consumo (IPC). Año Base 2021. Restaurantes y hoteles. Total Nacional. Índice","Índice de Precios de Consumo (IPC). Año Base 2021. Otros bienes y servicios. Total Nacional. Índice"
"DESCRIPCIÓN DE LAS UNIDADES","Base_2016=100","Base_2016=100","Base_2016=100","Base_2016=100","Base_2016=100","Base_2016=100","Base_2016=100","Base_2016=100","Base_2016=100","Base_2016=100","Base_2016=100","Base_2016=100","Base_2016=100"
"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"ENE 2002",69.530,65.859,46.340,82.717,58.763,81.364,86.313,63.805,128.593,101.553,58.352,63.523,65.705
"FEB 2002",69.590,65.836,46.348,81.782,58.888,81.475,86.844,64.089,126.667,101.580,58.430,64.123,65.834
"MAR 2002",70.165,66.185,46.436,83.519,59.041,81.819,87.210,65.007,125.098,103.157,58.496,64.756,66.045
"ABR 2002",71.118,66.614,48.321,89.456,59.223,82.336,87.665,66.018,125.098,102.658,58.556,65.182,66.185
"MAY 2002",71.374,66.902,48.446,90.427,59.324,82.686,87.212,66.191,125.098,102.968,58.563,65.416,66.299
"JUN 2002",71.377,67.075,48.447,89.997,59.470,82.920,87.501,65.545,124.891,103.616,58.571,65.696,66.381
"JUL 2002",70.882,67.354,48.475,82.087,59.607,82.358,87.700,65.585,124.500,104.308,58.587,66.184,66.410
"AGO 2002",71.085,67.672,48.506,81.520,59.696,82.370,87.726,65.784,124.516,105.582,58.603,66.701,66.471
"SEP 2002",71.351,68.028,48.515,83.801,59.863,82.643,87.790,66.044,125.004,103.921,59.018,66.362,66.693
"OCT 2002",72.058,68.153,48.523,91.177,59.927,83.055,87.934,66.341,124.883,103.085,60.469,66.305,66.744
"NOV 2002",72.169,68.252,48.530,94.748,59.916,83.269,88.028,65.445,120.675,102.725,60.587,66.308,66.790
