Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M12;6,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M11;5,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M10;5,4
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M09;4,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M08;3,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M07;2,9
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M06;2,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M05;2,7
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M04;2,2
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M03;1,3
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M02;0,0
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2021M01;0,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M12;-0,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M11;-0,8
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M10;-0,8
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M09;-0,4
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M08;-0,5
Tipo de dato;Variación anual;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2020M07;-0,6
