Tipo de dato;Agregados macroeconómicos: Nivel 1;Agregados macroeconómicos: Nivel 2;Niveles y tasas;Periodo;total
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1995T1;109165
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1995T2;116633
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1995T3;112398
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1995T4;122392
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1996T1;115776
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1996T2;123286
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1996T3;120174
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1996T4;129967
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1997T1;121938
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1997T2;130471
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1997T3;127175
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1997T4;139684
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1998T1;130480
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1998T2;140009
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1998T3;136461
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1998T4;149043
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1999T1;141050
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1999T2;149831
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1999T3;145954
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;1999T4;158888
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2000T1;153800
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2000T2;162872
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2000T3;158993
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2000T4;172186
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2001T1;166581
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2001T2;176446
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2001T3;171995
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2001T4;185971
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2002T1;177793
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2002T2;189754
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2002T3;183547
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2002T4;198458
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2003T1;190914
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2003T2;202759
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2003T3;196507
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2003T4;212086
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2004T1;203839
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2004T2;217083
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2004T3;210474
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2004T4;228041
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2005T1;219751
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2005T2;235008
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2005T3;226691
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2005T4;245907
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2006T1;238368
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2006T2;254165
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2006T3;245044
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2006T4;266246
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2007T1;256341
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2007T2;272717
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2007T3;260915
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2007T4;285566
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2008T1;267967
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2008T2;285050
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2008T3;269860
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2008T4;286664
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2009T1;258309
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2009T2;272044
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2009T3;260550
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2009T4;278420
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2010T1;257598
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2010T2;273434
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2010T3;261706
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2010T4;279971
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2011T1;258719
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2011T2;272481
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2011T3;259493
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2011T4;273070
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2012T1;252313
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2012T2;262527
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2012T3;253340
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2012T4;262919
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2013T1;246846
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2013T2;259228
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2013T3;251199
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2013T4;263075
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2014T1;248197
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2014T2;260733
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2014T3;254780
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2014T4;268448
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2015T1;257233
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2015T2;272132
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2015T3;266375
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2015T4;281850
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2016T1;265844
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2016T2;281788
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2016T3;275793
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2016T4;290415
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T1;276574
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T2;294157
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T3;287429
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T4;303707
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T1;286562
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T2;304836
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T3;296887
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T4;314974
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T1;299029
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T2;315507
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T3;305611
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T4;324228
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T1;289305
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T2;251187
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T3;282149
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T4;299307
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T1;279732
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T2;300089
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T3;297498
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T4;327744
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2022T1;310012
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2022T2;327758
