"Date","Price","Open","High","Low","Vol.","Change %"
"01 Aug 2022","89.02","97.95","98.42","85.73","386.27K","-9.73%"
"01 Jul 2022","98.62","106.30","111.44","90.58","349.37K","-7.15%"
"01 Jun 2022","106.22","115.10","123.66","101.58","5.15M","-7.37%"
"01 May 2022","114.67","104.00","119.98","98.20","5.32M","9.53%"
"01 Apr 2022","104.69","101.23","109.81","92.93","5.39M","4.40%"
"01 Mar 2022","100.28","96.09","130.50","93.53","8.83M","4.76%"
"01 Feb 2022","95.72","88.15","100.54","86.55","8.21M","8.59%"
"01 Jan 2022","88.15","75.69","88.84","74.27","7.52M","17.21%"
"01 Dec 2021","75.21","67.01","77.44","62.43","7.40M","13.64%"
"01 Nov 2021","66.18","83.36","84.97","64.43","9.44M","-20.81%"
"01 Oct 2021","83.57","75.12","85.41","74.23","9.22M","11.38%"
"01 Sept 2021","75.03","68.55","76.67","67.12","7.75M","9.53%"
"01 Aug 2021","68.50","73.91","73.95","61.74","7.93M","-7.37%"
"01 Jul 2021","73.95","73.50","76.98","65.21","8.11M","0.65%"
"01 Jun 2021","73.47","66.68","74.45","66.41","7.79M","10.78%"
"01 May 2021","66.32","63.64","67.52","61.56","7.51M","4.31%"
"01 Apr 2021","63.58","59.49","65.47","57.63","7.39M","7.47%"
"01 Mar 2021","59.16","61.95","67.98","57.25","9.79M","-3.80%"
"01 Feb 2021","61.50","51.99","63.81","51.64","7.60M","17.82%"
"01 Jan 2021","52.20","48.40","53.93","47.18","7.21M","7.58%"
"01 Dec 2020","48.52","45.08","49.28","43.92","6.21M","7.01%"
"01 Nov 2020","45.34","35.24","46.26","33.64","7.03M","26.68%"
"01 Oct 2020","35.79","39.90","41.70","34.92","7.35M","-11.01%"
"01 Sept 2020","40.22","42.83","43.43","36.13","6.75M","-5.61%"
"01 Aug 2020","42.61","40.39","43.78","39.58","6.37M","5.81%"
"01 Jul 2020","40.27","39.84","42.40","38.54","6.79M","2.55%"
"01 Jun 2020","39.27","35.21","41.63","34.27","7.64M","10.65%"
"01 May 2020","35.49","19.04","35.77","18.05","5.91M","88.38%"
"01 Apr 2020","18.84","20.10","29.13","-40.32","14.56M","-8.01%"
"01 Mar 2020","20.48","43.70","48.66","19.27","16.68M","-54.24%"
"01 Feb 2020","44.76","51.01","54.50","43.85","13.33M","-13.19%"
"01 Jan 2020","51.56","61.60","65.65","50.97","12.54M","-15.56%"
"01 Dec 2019","61.06","55.47","62.34","55.35","9.27M","10.68%"
"01 Nov 2019","55.17","54.15","58.74","54.07","9.47M","1.83%"
"01 Oct 2019","54.18","54.28","56.92","50.99","11.55M","0.20%"
"01 Sept 2019","54.07","55.00","63.38","52.84","13.08M","-1.87%"
"01 Aug 2019","55.10","57.85","57.99","50.52","14.04M","-5.94%"
"01 Jul 2019","58.58","59.27","60.94","54.72","11.80M","0.19%"
"01 Jun 2019","58.47","53.42","59.93","50.60","12.46M","9.29%"
"01 May 2019","53.50","63.40","63.93","53.05","16.25M","-16.29%"
"01 Apr 2019","63.91","60.24","66.60","60.13","13.33M","6.27%"
"01 Mar 2019","60.14","57.22","60.73","54.52","11.96M","5.10%"
"01 Feb 2019","57.22","54.01","57.81","51.23","10.55M","6.38%"
"01 Jan 2019","53.79","45.80","55.37","44.35","14.02M","18.45%"
"01 Dec 2018","45.41","52.45","54.55","42.36","12.16M","-10.84%"
"01 Nov 2018","50.93","64.88","65.39","49.41","15.12M","-22.02%"
"01 Oct 2018","65.31","73.29","76.90","64.81","13.04M","-10.84%"
"01 Sept 2018","73.25","69.89","73.73","66.86","10.09M","4.94%"
"01 Aug 2018","69.80","68.43","70.50","64.43","10.42M","1.51%"
"01 Jul 2018","68.76","73.62","75.27","67.03","10.91M","-7.27%"
"01 Jun 2018","74.15","67.07","74.46","63.59","12.86M","10.61%"
"01 May 2018","67.04","68.56","72.83","65.80","15.04M","-2.23%"
"01 Apr 2018","68.57","64.91","69.56","61.81","12.71M","5.59%"
"01 Mar 2018","64.94","61.55","66.55","59.95","12.38M","5.35%"
"01 Feb 2018","61.64","64.76","66.30","58.07","11.99M","-4.77%"
"01 Jan 2018","64.73","60.20","66.66","60.10","12.77M","7.13%"
"01 Dec 2017","60.42","57.42","60.51","55.82","9.49M","5.26%"
"01 Nov 2017","57.40","54.65","59.05","53.89","12.53M","5.55%"
"01 Oct 2017","54.38","51.64","54.85","49.10","11.95M","5.24%"
"01 Sept 2017","51.67","47.08","52.86","46.56","12.24M","9.40%"
"01 Aug 2017","47.23","50.21","50.43","45.58","17.17M","-5.86%"
"01 Jul 2017","50.17","46.28","50.41","43.65","14.57M","8.97%"
